data_reuniao,centralidade_grau_ponderada
2020-03-18,233.32999999999998
2022-08-03,204.73
2020-05-06,162.53
2023-11-01,148.53
2025-05-07,116.89
2022-03-16,116.44
2023-03-22,103.11
2023-12-13,96.32000000000001
2022-12-07,81.85
2022-06-15,79.85
2025-01-29,78.78999999999999
2023-05-03,76.64
2020-10-28,76.34
2021-12-08,75.32
2021-09-22,73.41
2021-01-20,73.15
2020-06-17,68.23
2024-12-11,66.08
2023-02-01,65.52
2022-09-21,64.77
2024-05-08,64.13
2020-08-05,60.77
2024-01-31,60.480000000000004
2021-08-04,57.26
2022-05-04,53.67
2021-03-17,51.69
2025-11-05,51.63
2024-11-06,50.64
2022-10-26,49.82
2022-02-02,49.58
2023-06-21,48.45
2020-12-09,48.43
2024-09-18,47.089999999999996
2025-03-19,46.74
2023-09-20,46.55
2024-03-20,45.71
2025-09-17,45.62
2021-10-27,44.88
2025-12-10,41.9
2024-07-31,41.37
2021-05-05,40.26
2020-02-05,39.47
2023-08-02,37.34
2021-06-16,36.29
2025-06-18,34.98
2025-07-30,33.87
2020-09-16,31.79
2024-06-19,26.16
