reuniao,data_decisao,selic_anterior,selic_nova,variacao_pp,tipo_decisao
228,2020-02-05,4.50,4.25,-0.25,corte
229,2020-03-18,4.25,3.75,-0.50,corte
230,2020-05-06,3.75,3.00,-0.75,corte
231,2020-06-17,3.00,2.25,-0.75,corte
232,2020-08-05,2.25,2.00,-0.25,corte
233,2020-09-16,2.00,2.00,0.00,manutencao
234,2020-10-28,2.00,2.00,0.00,manutencao
235,2020-12-09,2.00,2.00,0.00,manutencao
236,2021-01-20,2.00,2.00,0.00,manutencao
237,2021-03-17,2.00,2.75,0.75,alta
238,2021-05-05,2.75,3.50,0.75,alta
239,2021-06-16,3.50,4.25,0.75,alta
240,2021-08-04,4.25,5.25,1.00,alta
241,2021-09-22,5.25,6.25,1.00,alta
242,2021-10-27,6.25,7.75,1.50,alta
243,2021-12-08,7.75,9.25,1.50,alta
244,2022-02-02,9.25,10.75,1.50,alta
245,2022-03-16,10.75,11.75,1.00,alta
246,2022-05-04,11.75,12.75,1.00,alta
247,2022-06-15,12.75,13.25,0.50,alta
248,2022-08-03,13.25,13.75,0.50,alta
249,2022-09-21,13.75,13.75,0.00,manutencao
250,2022-10-26,13.75,13.75,0.00,manutencao
251,2022-12-07,13.75,13.75,0.00,manutencao
252,2023-02-01,13.75,13.75,0.00,manutencao
253,2023-03-22,13.75,13.75,0.00,manutencao
254,2023-05-03,13.75,13.75,0.00,manutencao
255,2023-06-21,13.75,13.75,0.00,manutencao
256,2023-08-02,13.75,13.25,-0.50,corte
257,2023-09-20,13.25,12.75,-0.50,corte
258,2023-11-01,12.75,12.25,-0.50,corte
259,2023-12-13,12.25,11.75,-0.50,corte
260,2024-01-31,11.75,11.25,-0.50,corte
261,2024-03-20,11.25,10.75,-0.50,corte
262,2024-05-08,10.75,10.50,-0.25,corte
263,2024-06-19,10.50,10.50,0.00,manutencao
264,2024-07-31,10.50,10.50,0.00,manutencao
265,2024-09-18,10.50,10.75,0.25,alta
266,2024-11-06,10.75,11.25,0.50,alta
267,2024-12-11,11.25,12.25,1.00,alta
268,2025-01-29,12.25,13.25,1.00,alta
269,2025-03-19,13.25,14.25,1.00,alta
270,2025-05-07,14.25,14.75,0.50,alta
271,2025-06-18,14.75,15.00,0.25,alta
272,2025-07-30,15.00,15.00,0.00,manutencao
273,2025-09-17,15.00,15.00,0.00,manutencao
274,2025-11-05,15.00,15.00,0.00,manutencao
275,2025-12-10,15.00,15.00,0.00,manutencao
